酒蔵,元データ,処理,理由,統合先
西條鶴醸造,酒蔵限定酒・純米吟醸「備前雄町」,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,酒蔵限定酒・純米大吟醸原酒,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,*COKUN（こくん）500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,COKUN
賀茂泉酒造,*朱泉普通酒1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉普通酒
賀茂泉酒造,*朱泉普通酒紙パック1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉普通酒
賀茂泉酒造,*朱泉菰樽1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
賀茂泉酒造,*純米吟醸「古酒」 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸「古酒」
賀茂泉酒造,*純米吟醸「山吹色の酒」1800ｍｌ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山吹色の酒
賀茂泉酒造,*純米吟醸「山吹色の酒」720ｍｌ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山吹色の酒
賀茂泉酒造,*純米吟醸「朱泉本仕込」1800ｍl,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉本仕込
賀茂泉酒造,*純米吟醸「朱泉本仕込」1800ｍｌ箱入OS-5,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉本仕込
賀茂泉酒造,*純米吟醸「朱泉本仕込」180ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉本仕込
賀茂泉酒造,*純米吟醸「朱泉本仕込」720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,朱泉本仕込
賀茂泉酒造,*純米吟醸「緑泉本仕込」1800ｍｌ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,緑泉本仕込
賀茂泉酒造,*純米吟醸「緑泉本仕込」300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,緑泉本仕込
