酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
白牡丹酒造,【藝陽男山】生もと純米酒 夏仕込み ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_4EC558AFED10,official_ec,https://hakubotan.shop-pro.jp/?pid=185933582,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み おりがらみ ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_6C7CD55248B3,official_ec,https://hakubotan.shop-pro.jp/?pid=187122066,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み 生酒 ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_D0C14F3D3F24,official_ec,https://hakubotan.shop-pro.jp/?pid=187122080,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_C279E01F888B,official_ec,https://hakubotan.shop-pro.jp/?pid=187122109,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み おりがらみ ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_4DDF8E66455F,official_ec,https://hakubotan.shop-pro.jp/?pid=187866635,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み 生酒 ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_9E10393F5D1B,official_ec,https://hakubotan.shop-pro.jp/?pid=187866610,1,,公式EC掲載
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_74BEA76B0334,official_ec,https://hakubotan.shop-pro.jp/?pid=187866573,1,,公式EC掲載
白牡丹酒造,ひろしま一途な純米酒 紅甘萬 180ml瓶詰,180,4950198528007,,1000,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_3EF4CFCF4931,official_ec,https://hakubotan.shop-pro.jp/?pid=120859734,1,,公式EC掲載
白牡丹酒造,大吟醸 令和7酒造年度 全国新酒鑑評会 出品酒 500ml瓶【万年蔵】,500,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_A83DB0A98142,official_ec,https://hakubotan.shop-pro.jp/?pid=190798407,1,,公式EC掲載
白牡丹酒造,大吟醸 令和７酒造年度 全国新酒鑑評会 出品酒 500ml瓶【天保蔵】,500,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_CE4568FB2313,official_ec,https://hakubotan.shop-pro.jp/?pid=190798429,1,,公式EC掲載
白牡丹酒造,大吟醸 令和７酒造年度 全国新酒鑑評会 出品酒 500ml瓶【長春蔵】,500,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_2D252D0ED3A5,official_ec,https://hakubotan.shop-pro.jp/?pid=190798416,1,,公式EC掲載
白牡丹酒造,白牡丹 長期低温熟成 大吟醸 FLUSSO 500ml,500,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_D0DA91A2B4BA,official_ec,https://hakubotan.shop-pro.jp/?pid=192006339,1,,公式EC掲載
福美人酒造,"福美人 上撰 さけパック 2,000ml",2000,,,2035,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_54FAEC4A9C0E,official_ec,https://www.fukubijin.co.jp/SHOP/2268.html,1,,公式EC掲載
福美人酒造,福美人 大吟醸 300ml 【自宅用におすすめ】,300,,,1020,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_A1E12BFACA50,official_ec,https://www.fukubijin.co.jp/SHOP/1157.html,1,,公式EC掲載
福美人酒造,"福美人 大吟醸 蔵乃華 （ くらのはな ） 1,800ml [ 特製桐箱入 ] 【ギフトにおすすめ】",1800,,,11000,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_FB8A4FF193D5,official_ec,https://www.fukubijin.co.jp/SHOP/1010.html,1,,公式EC掲載
福美人酒造,福美人 大吟醸 蔵乃華 （ くらのはな ） 720ml [ 特製桐箱入 ],720,,,5500,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_7E6DFBCD66A9,official_ec,https://www.fukubijin.co.jp/SHOP/1020.html,1,,公式EC掲載
福美人酒造,"福美人 大吟醸 西條酒造学校 1,800ml [豪華 化粧箱入 ] 【ギフトにおすすめ】",1800,,,5500,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_B8CE31985A8E,official_ec,https://www.fukubijin.co.jp/SHOP/1120.html,1,,公式EC掲載
福美人酒造,福美人 大吟醸 西條酒造学校 720ml [ 豪華化粧箱入 ],720,,,3300,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_F86534BB5319,official_ec,https://www.fukubijin.co.jp/SHOP/1125.html,1,,公式EC掲載
福美人酒造,"福美人 本醸造 舞 1,800ml",1800,,,2008,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_CE2A93B4B3F7,official_ec,https://www.fukubijin.co.jp/SHOP/3010.html,1,,公式EC掲載
福美人酒造,福美人 特別純米酒「ひめあま」 300ml 【あまくちの純米】,300,,,600,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_638C1652AE29,official_ec,https://www.fukubijin.co.jp/SHOP/3085.html,1,,公式EC掲載
福美人酒造,福美人 特別純米酒「ひめあま」 720ml 【あまくちの純米】,720,,,1500,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_A55184359F53,official_ec,https://www.fukubijin.co.jp/SHOP/2080.html,1,,公式EC掲載
福美人酒造,"福美人 純米吟醸 1,800ml",1800,,,2970,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_CE8C09F808FB,official_ec,https://www.fukubijin.co.jp/SHOP/1210.html,1,,公式EC掲載
福美人酒造,福美人 純米吟醸 720ml,720,,,1500,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_C71C5EBF7B57,official_ec,https://www.fukubijin.co.jp/SHOP/1221.html,1,,公式EC掲載
福美人酒造,"福美人 純米酒 1,800ml",1800,,,2300,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_93F8509C10F9,official_ec,https://www.fukubijin.co.jp/SHOP/2020.html,1,,公式EC掲載
福美人酒造,福美人 純米酒 720ml,720,,,1180,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_768DD3CC6992,official_ec,https://www.fukubijin.co.jp/SHOP/2040.html,1,,公式EC掲載
福美人酒造,福美人 蔵内限定 甘い口どけ豊醇原酒 ７２０ｍｌ,720,,,1116,販売中,在庫あり,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_887CA8F5C380,official_ec,https://www.fukubijin.co.jp/SHOP/2203.html,1,,公式EC掲載
西條鶴醸造,2025年西條鶴特別純米酒『 アートラベル -渦炎- 』 720ml,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_B721D8DB11B1,official_ec,https://saijotsuru.co.jp/?pid=183341240,1,,公式EC掲載
西條鶴醸造,【季節限定酒】純米にごり酒（微発泡タイプ生酒）,,,,,販売中,不明,季節限定,未確認,未確認,要冷蔵,2026-09-05,CSKU_B7266AB9AAA4,official_ec,https://saijotsuru.co.jp/?pid=155394785,1,,公式EC掲載
